"Hotel Name",Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
"Country Inn and Suites by Radisson, Sahibabad",4.2,Very Good,15697,5,In Ghaziabad ,Delhi city centre,30.0 km ,"6,249",
Radisson Blu Kaushambi Delhi NCR,4.0,Very Good,1826,5,In Ghaziabad ,Delhi city centre,28.0 km ,"5,039",605
The Ashok,3.8,Very Good,5694,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,"6,288",
Pride Plaza Hotel Aerocity New Delhi,4.0,Very Good,7275,5,Aerocity ,Indira Gandhi International Airport,4.0 km ,"6,499",780
"Golden Tulip Vasundhara Hotel & Suites, Delhi NCR",3.9,Very Good,2057,4,In Ghaziabad ,Delhi city centre,31.0 km ,"3,386",871
"Welcomhotel by ITC Hotels, Dwarka, New Delhi",4.0,Very Good,9348,5,Sector 10 Dwarka,,,"6,223",
Holiday Inn New Delhi International Airport,4.2,Very Good,5734,5,Aerocity ,Indira Gandhi International Airport,3.8 km ,"6,999",
Novotel New Delhi International Airport- An Accor hotels brand,4.1,Very Good,4534,5,Aerocity ,Indira Gandhi International Airport,4.2 km ,"7,250",
The Suryaa New Delhi,4.1,Very Good,4314,5,New Friends Colony,,,"5,348","1,092"
The Hosteller Delhi | Private Rooms & Dorms,4.3,Excellent,795,,New Friends Colony,,,"2,228",503
The LaLiT New Delhi,4.1,Very Good,7908,5,Connaught Place,,,"9,040","2,430"
Radisson Blu Plaza Delhi Airport,4.3,Excellent,7275,5,Mahipalpur ,Indira Gandhi International Airport,5.2 km ,"4,500",765
Roseate House New Delhi,4.4,Excellent,9130,5,Aerocity ,Indira Gandhi International Airport,3.5 km ,"9,649","1,737"
Lemon Tree Hotel East Delhi Mall Kaushambi,3.9,Very Good,1550,4,In Ghaziabad ,Delhi city centre,24.0 km ,"2,073",752
YWCA OF DELHI BLUE TRIANGLE FAMILY HOSTEL,3.9,Very Good,505,,Connaught Place ,Metro Museum,690 m ,"2,620",770
Hotel Trans International,4.2,Very Good,6933,4,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,274",465
The Leela Ambience Convention Hotel Delhi,4.4,Excellent,3845,5,East Delhi,,,"7,499",
Jaypee Vasant Continental Hotel,4.0,Very Good,1696,5,Vasant Vihar ,T1 - Delhi Airport (IGI Airport),7.6 km ,"5,999",
YWCA INTERNATIONAL GUEST HOUSE,3.8,Very Good,412,,Connaught Place ,India Gate,3.0 km ,"2,408",648
Holiday Inn New Delhi Mayur Vihar,4.1,Very Good,2935,5,East Delhi,,,"6,249",
Lemon Tree Premier Delhi Airport,3.9,Very Good,9726,4,Aerocity ,Indira Gandhi International Airport,4.1 km ,"4,464","1,478"
