FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,Price
Air India,AI 621,Mumbai,03:55,Bengaluru,05:50,01 h 55 m,"2,307"
AirAsia,I5 670,Mumbai,19:55,Bengaluru,21:45,01 h 50 m,"2,773"
AirAsia,I5 2992,Mumbai,23:55,Bengaluru,"01:45
+ 1 DAY",01 h 50 m,"2,773"
IndiGo,6E 5388,Mumbai,21:30,Bengaluru,23:15,01 h 45 m,"2,839"
Akasa Air,QP 1103,Mumbai,00:45,Bengaluru,02:20,01 h 35 m,"3,005"
Akasa Air,QP 1103,Mumbai,00:45,Bengaluru,02:20,01 h 35 m,"3,005"
Akasa Air,QP 1103,Mumbai,00:45,Bengaluru,02:20,01 h 35 m,"3,005"
Akasa Air,QP 1341,Mumbai,20:00,Bengaluru,21:35,01 h 35 m,"3,005"
Akasa Air,QP 1341,Mumbai,20:00,Bengaluru,21:35,01 h 35 m,"3,005"
Akasa Air,QP 1139,Mumbai,18:05,Bengaluru,19:40,01 h 35 m,"3,053"
IndiGo,6E 6953,Mumbai,00:50,Bengaluru,02:40,01 h 50 m,"3,219"
Akasa Air,QP 1306,Mumbai,19:00,Bengaluru,20:35,01 h 35 m,"3,283"
IndiGo,6E 5352,Mumbai,06:10,Bengaluru,07:50,01 h 40 m,"3,420"
IndiGo,6E 5382,Mumbai,12:30,Bengaluru,14:15,01 h 45 m,"3,420"
IndiGo,6E 5382,Mumbai,12:30,Bengaluru,14:15,01 h 45 m,"3,420"
Air India,AI 607,Mumbai,16:40,Bengaluru,18:25,01 h 45 m,"3,578"
IndiGo,6E 5069,Mumbai,11:15,Bengaluru,13:00,01 h 45 m,"3,650"
IndiGo,6E 5069,Mumbai,11:15,Bengaluru,13:00,01 h 45 m,"3,650"
Vistara,UK 849,Mumbai,17:30,Bengaluru,19:15,01 h 45 m,"4,075"
IndiGo,6E 5125,Mumbai,23:15,Bengaluru,"00:50
+ 1 DAY",01 h 35 m,"4,100"
IndiGo,6E 5125,Mumbai,23:15,Bengaluru,"00:50
+ 1 DAY",01 h 35 m,"4,100"
Akasa Air,QP 1110,Mumbai,09:25,Bengaluru,11:05,01 h 40 m,"4,300"
Vistara,UK 845,Mumbai,05:55,Bengaluru,07:45,01 h 50 m,"4,436"
IndiGo,6E 6293,Mumbai,07:45,Bengaluru,09:30,01 h 45 m,"4,600"
Vistara,UK 853,Mumbai,16:00,Bengaluru,17:45,01 h 45 m,"4,600"
Akasa Air,QP 1625,Mumbai,13:35,Bengaluru,15:10,01 h 35 m,"5,039"
Akasa Air,QP 1625,Mumbai,13:35,Bengaluru,15:10,01 h 35 m,"5,039"
IndiGo,6E 5294,Mumbai,14:45,Bengaluru,16:40,01 h 55 m,"5,540"
Air India,AI 641,Mumbai,18:55,Bengaluru,20:25,01 h 30 m,"5,783"
Vistara,UK 865,Mumbai,18:55,Bengaluru,20:55,02 h,"5,966"
IndiGo,6E 5221,Mumbai,16:45,Bengaluru,18:35,01 h 50 m,"6,450"
IndiGo,6E 5067,Mumbai,18:05,Bengaluru,19:55,01 h 50 m,"6,450"
IndiGo,6E 5067,Mumbai,18:05,Bengaluru,19:55,01 h 50 m,"6,450"
IndiGo,6E 5256,Mumbai,20:35,Bengaluru,22:05,01 h 30 m,"6,450"
Vistara,UK 857,Mumbai,21:30,Bengaluru,23:15,01 h 45 m,"6,911"
IndiGo,6E 2244,Mumbai,19:30,Bengaluru,21:15,01 h 45 m,"7,701"
Air India,AI 603,Mumbai,06:45,Bengaluru,08:40,01 h 55 m,"9,458"
Vistara,UK 863,Mumbai,09:05,Bengaluru,10:50,01 h 45 m,"11,521"
Vistara,UK 863,Mumbai,09:05,Bengaluru,10:50,01 h 45 m,"11,521"
IndiGo,6E 5296,Mumbai,07:00,Bengaluru,08:40,01 h 40 m,"13,801"
IndiGo,6E 5211,Mumbai,08:30,Bengaluru,10:25,01 h 55 m,"13,801"
IndiGo,6E 5212,Mumbai,09:50,Bengaluru,11:35,01 h 45 m,"13,801"
Vistara,UK 851,Mumbai,07:00,Bengaluru,08:50,01 h 50 m,"14,183"
Air India,AI 639,Mumbai,09:20,Bengaluru,11:10,01 h 50 m,"17,018"
Akasa Air,QP 1340,Bengaluru,05:30,Mumbai,07:20,01 h 50 m,"3,345"
IndiGo,6E 5295,Bengaluru,04:25,Mumbai,06:20,01 h 55 m,"3,520"
IndiGo,6E 5295,Bengaluru,04:25,Mumbai,06:20,01 h 55 m,"3,520"
Akasa Air,QP 1624,Bengaluru,04:50,Mumbai,06:55,02 h 05 m,"3,525"
IndiGo,6E 5124,Bengaluru,05:00,Mumbai,06:50,01 h 50 m,"3,900"
IndiGo,6E 5124,Bengaluru,05:00,Mumbai,06:50,01 h 50 m,"3,900"
IndiGo,6E 5124,Bengaluru,05:00,Mumbai,06:50,01 h 50 m,"3,900"
Akasa Air,QP 1138,Bengaluru,15:45,Mumbai,17:20,01 h 35 m,"3,939"
Akasa Air,QP 1138,Bengaluru,15:45,Mumbai,17:20,01 h 35 m,"3,939"
IndiGo,6E 5351,Bengaluru,15:00,Mumbai,16:40,01 h 40 m,"4,090"
IndiGo,6E 5251,Bengaluru,16:30,Mumbai,18:15,01 h 45 m,"4,090"
IndiGo,6E 939,Bengaluru,22:45,Mumbai,"00:35
+ 1 DAY",01 h 50 m,"4,090"
IndiGo,6E 5209,Bengaluru,06:00,Mumbai,07:35,01 h 35 m,"4,140"
IndiGo,6E 5293,Bengaluru,12:15,Mumbai,14:05,01 h 50 m,"4,140"
IndiGo,6E 5293,Bengaluru,12:15,Mumbai,14:05,01 h 50 m,"4,140"
Akasa Air,QP 1104,Bengaluru,11:45,Mumbai,13:30,01 h 45 m,"4,249"
IndiGo,6E 6347,Bengaluru,21:45,Mumbai,23:40,01 h 55 m,"4,400"
IndiGo,6E 6347,Bengaluru,21:45,Mumbai,23:40,01 h 55 m,"4,400"
AirAsia,I5 472,Bengaluru,02:00,Mumbai,04:00,02 h,"4,401"
Air India,AI 604,Bengaluru,09:20,Mumbai,11:35,02 h 15 m,"4,621"
Air India,AI 604,Bengaluru,09:20,Mumbai,11:35,02 h 15 m,"4,621"
Akasa Air,QP 1109,Bengaluru,06:55,Mumbai,08:35,01 h 40 m,"4,629"
AirAsia,I5 2991,Bengaluru,21:25,Mumbai,23:10,01 h 45 m,"4,899"
IndiGo,6E 488,Bengaluru,10:15,Mumbai,11:55,01 h 40 m,"4,900"
IndiGo,6E 5134,Bengaluru,13:45,Mumbai,15:20,01 h 35 m,"4,900"
Akasa Air,QP 1136,Bengaluru,06:25,Mumbai,07:55,01 h 30 m,"5,149"
Akasa Air,QP 1136,Bengaluru,06:25,Mumbai,07:55,01 h 30 m,"5,149"
IndiGo,6E 5207,Bengaluru,07:05,Mumbai,08:55,01 h 50 m,"5,240"
IndiGo,6E 5255,Bengaluru,18:00,Mumbai,19:50,01 h 50 m,"5,595"
IndiGo,6E 5376,Bengaluru,19:30,Mumbai,21:10,01 h 40 m,"6,190"
Air India,AI 640,Bengaluru,06:45,Mumbai,08:35,01 h 50 m,"6,721"
Air India,AI 622,Bengaluru,12:05,Mumbai,14:00,01 h 55 m,"6,721"
Air India,AI 622,Bengaluru,12:05,Mumbai,14:00,01 h 55 m,"6,721"
Air India,AI 610,Bengaluru,19:20,Mumbai,21:20,02 h,"6,721"
IndiGo,6E 5083,Bengaluru,20:40,Mumbai,22:20,01 h 40 m,"8,191"
Vistara,UK 866,Bengaluru,06:40,Mumbai,08:20,01 h 40 m,"9,346"
Vistara,UK 852,Bengaluru,09:30,Mumbai,11:25,01 h 55 m,"9,346"
Vistara,UK 854,Bengaluru,18:25,Mumbai,20:15,01 h 50 m,"9,346"
Vistara,UK 854,Bengaluru,18:25,Mumbai,20:15,01 h 50 m,"9,346"
IndiGo,6E 259,Bengaluru,08:30,Mumbai,10:10,01 h 40 m,"9,490"
Vistara,UK 846,Bengaluru,08:30,Mumbai,10:10,01 h 40 m,"11,038"
Vistara,UK 840,Bengaluru,21:35,Mumbai,23:20,01 h 45 m,"11,038"
Vistara,UK 850,Bengaluru,19:55,Mumbai,21:35,01 h 40 m,"11,934"
Vistara,UK 864,Bengaluru,19:00,Mumbai,20:35,01 h 35 m,"14,596"
Vistara,UK 864,Bengaluru,19:00,Mumbai,20:35,01 h 35 m,"14,596"
Air India,AI 642,Bengaluru,21:25,Mumbai,23:20,01 h 55 m,"20,581"
